日期,代號,證券商,買進股數,賣出股數,買賣超股數,買進金額,賣出金額,買賣超金額,買進均價,賣出均價,買進比重,賣出比重,成交筆數,總成交金額,總成交股數,周轉率(%),開盤價,最高價,最低價,收盤價
2016-07-01,7402.0,5386  第一金彰化,0.0,1000,-1000.0,0.0,78400.0,-78400.0,0.0,78.4,0.0,11.0,8.0,709800.0,9000.0,0.04,78.4,79.2,78.0,79.0
2016-07-01,7402.0,5856  統一臺中,1000.0,0,1000.0,78000.0,0.0,78000.0,78.0,0.0,11.0,0.0,8.0,709800.0,9000.0,0.04,78.4,79.2,78.0,79.0
2016-07-01,7402.0,6160  中國信託證,0.0,2000,-2000.0,0.0,158400.0,-158400.0,0.0,79.2,0.0,22.0,8.0,709800.0,9000.0,0.04,78.4,79.2,78.0,79.0
2016-07-01,7402.0,700B  兆豐板橋,0.0,1000,-1000.0,0.0,79200.0,-79200.0,0.0,79.2,0.0,11.0,8.0,709800.0,9000.0,0.04,78.4,79.2,78.0,79.0
2016-07-01,7402.0,8458  康和台南,0.0,2000,-2000.0,0.0,157600.0,-157600.0,0.0,78.8,0.0,22.0,8.0,709800.0,9000.0,0.04,78.4,79.2,78.0,79.0
2016-07-01,7402.0,8883  國泰松江,1000.0,1000,0.0,79000.0,79000.0,0.0,79.0,79.0,11.0,11.0,8.0,709800.0,9000.0,0.04,78.4,79.2,78.0,79.0
2016-07-01,7402.0,9103  群益松山,0.0,1000,-1000.0,0.0,79200.0,-79200.0,0.0,79.2,0.0,11.0,8.0,709800.0,9000.0,0.04,78.4,79.2,78.0,79.0
2016-07-01,7402.0,9332  永昌楠梓,0.0,1000,-1000.0,0.0,78000.0,-78000.0,0.0,78.0,0.0,11.0,8.0,709800.0,9000.0,0.04,78.4,79.2,78.0,79.0
2016-07-01,7402.0,9801  元大松江,2000.0,0,2000.0,156800.0,0.0,156800.0,78.4,0.0,22.0,0.0,8.0,709800.0,9000.0,0.04,78.4,79.2,78.0,79.0
2016-07-01,7402.0,983j  元大仁愛,5000.0,0,5000.0,396000.0,0.0,396000.0,79.2,0.0,56.00000000000001,0.0,8.0,709800.0,9000.0,0.04,78.4,79.2,78.0,79.0
2016-06-30,7402.0,1165  日盛板橋,0.0,3000,-3000.0,0.0,233600.0,-233600.0,0.0,77.87,0.0,10.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,5265  大慶苗栗,1000.0,0,1000.0,78000.0,0.0,78000.0,78.0,0.0,3.0,0.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,6160  中國信託證,1000.0,0,1000.0,78400.0,0.0,78400.0,78.4,0.0,3.0,0.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,700B  兆豐板橋,1000.0,0,1000.0,78400.0,0.0,78400.0,78.4,0.0,3.0,0.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,700g  兆豐利南門,0.0,2000,-2000.0,0.0,155600.0,-155600.0,0.0,77.8,0.0,7.000000000000001,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,700h  兆豐國際三,1000.0,0,1000.0,77900.0,0.0,77900.0,77.9,0.0,3.0,0.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,8458  康和台南,1000.0,1000,0.0,77900.0,77800.0,100.0,77.9,77.8,3.0,3.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,845D  康和板橋,0.0,3000,-3000.0,0.0,234000.0,-234000.0,0.0,78.0,0.0,10.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,8850  鑫豐證券,0.0,2000,-2000.0,0.0,156200.0,-156200.0,0.0,78.1,0.0,7.000000000000001,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,8883  國泰松江,1000.0,0,1000.0,77100.0,0.0,77100.0,77.1,0.0,3.0,0.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,9105  群益高盛,0.0,1000,-1000.0,0.0,77900.0,-77900.0,0.0,77.9,0.0,3.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,913N  群益土城,2000.0,0,2000.0,155600.0,0.0,155600.0,77.8,0.0,7.000000000000001,0.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,920E  凱基東門,0.0,1000,-1000.0,0.0,77800.0,-77800.0,0.0,77.8,0.0,3.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,920W  凱基大里,2000.0,0,2000.0,155600.0,0.0,155600.0,77.8,0.0,7.000000000000001,0.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,9215  凱基三民,10000.0,0,10000.0,771000.0,0.0,771000.0,77.1,0.0,33.0,0.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,9237  凱基敦北,2000.0,0,2000.0,155600.0,0.0,155600.0,77.8,0.0,7.000000000000001,0.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,9623  富邦台北,0.0,10000,-10000.0,0.0,771000.0,-771000.0,0.0,77.1,0.0,33.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,981F  元大福營,0.0,1000,-1000.0,0.0,77100.0,-77100.0,0.0,77.1,0.0,3.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,983j  元大仁愛,0.0,6000,-6000.0,0.0,466900.0,-466900.0,0.0,77.82,0.0,20.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-30,7402.0,9A9S  永豐金南京,8000.0,0,8000.0,622400.0,0.0,622400.0,77.8,0.0,27.0,0.0,16.0,2327900.0,30000.0,0.16,77.9,78.4,77.1,78.4
2016-06-29,7402.0,1042  臺銀臺南,1000.0,0,1000.0,78800.0,0.0,78800.0,78.8,0.0,9.0,0.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-29,7402.0,1165  日盛板橋,0.0,2000,-2000.0,0.0,155800.0,-155800.0,0.0,77.9,0.0,18.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-29,7402.0,5382  第一金台中,2000.0,0,2000.0,157000.0,0.0,157000.0,78.5,0.0,18.0,0.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-29,7402.0,5384  第一金台南,0.0,2000,-2000.0,0.0,156000.0,-156000.0,0.0,78.0,0.0,18.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-29,7402.0,5858  統一嘉義,1000.0,0,1000.0,77500.0,0.0,77500.0,77.5,0.0,9.0,0.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-29,7402.0,592r  元富城東,1000.0,0,1000.0,77800.0,0.0,77800.0,77.8,0.0,9.0,0.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-29,7402.0,700M  兆豐桃園,0.0,3000,-3000.0,0.0,237000.0,-237000.0,0.0,79.0,0.0,27.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-29,7402.0,8458  康和台南,1000.0,1000,0.0,78000.0,77800.0,200.0,78.0,77.8,9.0,9.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-29,7402.0,8564  新光台南,1000.0,0,1000.0,77800.0,0.0,77800.0,77.8,0.0,9.0,0.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-29,7402.0,913g  群益南三重,1000.0,0,1000.0,78000.0,0.0,78000.0,78.0,0.0,9.0,0.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-29,7402.0,918c  群益鳳山,1000.0,0,1000.0,78000.0,0.0,78000.0,78.0,0.0,9.0,0.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-29,7402.0,920F  凱基站前,0.0,1000,-1000.0,0.0,78000.0,-78000.0,0.0,78.0,0.0,9.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-29,7402.0,9218  凱基大直,2000.0,0,2000.0,158000.0,0.0,158000.0,79.0,0.0,18.0,0.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-29,7402.0,983G  元大上新莊,0.0,1000,-1000.0,0.0,78800.0,-78800.0,0.0,78.8,0.0,9.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-29,7402.0,9873  元大西門,0.0,1000,-1000.0,0.0,77500.0,-77500.0,0.0,77.5,0.0,9.0,10.0,860900.0,11000.0,0.05,77.5,79.0,77.5,77.8
2016-06-28,7402.0,1165  日盛板橋,1000.0,0,1000.0,77600.0,0.0,77600.0,77.6,0.0,4.0,0.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,526K  大慶富順,1000.0,0,1000.0,77200.0,0.0,77200.0,77.2,0.0,4.0,0.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,585S  統一宜蘭,64.0,0,64.0,4992.0,0.0,4992.0,78.0,0.0,0.0,0.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,6460  大昌,2000.0,0,2000.0,155400.0,0.0,155400.0,77.7,0.0,8.0,0.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,700Z  兆豐高雄,0.0,3000,-3000.0,0.0,232600.0,-232600.0,0.0,77.53,0.0,12.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,845D  康和板橋,0.0,64,-64.0,0.0,4992.0,-4992.0,0.0,78.0,0.0,0.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,8883  國泰松江,1000.0,0,1000.0,77500.0,0.0,77500.0,77.5,0.0,4.0,0.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,888K  國泰板橋,0.0,1000,-1000.0,0.0,77600.0,-77600.0,0.0,77.6,0.0,4.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,9182  群益,5000.0,0,5000.0,387500.0,0.0,387500.0,77.5,0.0,21.0,0.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,9215  凱基三民,5000.0,0,5000.0,388000.0,0.0,388000.0,77.6,0.0,21.0,0.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,9218  凱基大直,1000.0,0,1000.0,77500.0,0.0,77500.0,77.5,0.0,4.0,0.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,9237  凱基敦北,5000.0,0,5000.0,387500.0,0.0,387500.0,77.5,0.0,21.0,0.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,9658  富邦建國,0.0,5000,-5000.0,0.0,388000.0,-388000.0,0.0,77.6,0.0,21.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,981F  元大福營,2000.0,0,2000.0,155200.0,0.0,155200.0,77.6,0.0,8.0,0.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,983G  元大上新莊,0.0,1000,-1000.0,0.0,77700.0,-77700.0,0.0,77.7,0.0,4.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,983j  元大仁愛,0.0,14000,-14000.0,0.0,1085200.0,-1085200.0,0.0,77.51,0.0,57.99999999999999,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-28,7402.0,9A9s  永豐金彰化,1000.0,0,1000.0,77700.0,0.0,77700.0,77.7,0.0,4.0,0.0,11.0,1866092.0,24064.0,0.12,77.7,77.7,77.2,77.2
2016-06-27,7402.0,104D  臺銀金山,1000.0,0,1000.0,77500.0,0.0,77500.0,77.5,0.0,2.0,0.0,27.0,3172651.0,40858.0,0.21,77.4,78.0,77.2,77.9
2016-06-27,7402.0,1165  日盛板橋,0.0,2000,-2000.0,0.0,154400.0,-154400.0,0.0,77.2,0.0,5.0,27.0,3172651.0,40858.0,0.21,77.4,78.0,77.2,77.9
2016-06-27,7402.0,1167  日盛嘉義,1000.0,0,1000.0,77200.0,0.0,77200.0,77.2,0.0,2.0,0.0,27.0,3172651.0,40858.0,0.21,77.4,78.0,77.2,77.9
2016-06-27,7402.0,116P  日盛信義,0.0,1000,-1000.0,0.0,77700.0,-77700.0,0.0,77.7,0.0,2.0,27.0,3172651.0,40858.0,0.21,77.4,78.0,77.2,77.9
2016-06-27,7402.0,116f  日盛復興,1000.0,0,1000.0,77500.0,0.0,77500.0,77.5,0.0,2.0,0.0,27.0,3172651.0,40858.0,0.21,77.4,78.0,77.2,77.9
2016-06-27,7402.0,526K  大慶富順,1000.0,0,1000.0,77500.0,0.0,77500.0,77.5,0.0,2.0,0.0,27.0,3172651.0,40858.0,0.21,77.4,78.0,77.2,77.9
2016-06-27,7402.0,5386  第一金彰化,1000.0,0,1000.0,77900.0,0.0,77900.0,77.9,0.0,2.0,0.0,27.0,3172651.0,40858.0,0.21,77.4,78.0,77.2,77.9
