日期,代號,證券商,買進股數,賣出股數,買賣超股數,買進金額,賣出金額,買賣超金額,買進均價,賣出均價,買進比重,賣出比重,成交筆數,總成交金額,總成交股數,開盤價,最高價,最低價,收盤價
2016-07-01,2616.0,1020,5000.0,0.0,5000.0,124500.0,0.0,124500.0,24.9,0.0,1.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,1040,2096.0,0.0,2096.0,52345.2,0.0,52345.2,24.97,0.0,1.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,1091,3000.0,0.0,3000.0,75150.0,0.0,75150.0,25.05,0.0,1.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,109K,0.0,70000.0,-70000.0,0.0,1750000.0,-1750000.0,0.0,25.0,0.0,18.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,116m,0.0,9000.0,-9000.0,0.0,224100.0,-224100.0,0.0,24.9,0.0,2.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,2181,1000.0,7000.0,-6000.0,25050.0,175350.0,-150300.0,25.05,25.05,0.0,2.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,5383,1000.0,0.0,1000.0,25000.0,0.0,25000.0,25.0,0.0,0.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,585g,200.0,0.0,200.0,4990.0,0.0,4990.0,24.95,0.0,0.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,592Q,0.0,2000.0,-2000.0,0.0,50000.0,-50000.0,0.0,25.0,0.0,1.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,592z,200.0,0.0,200.0,4990.0,0.0,4990.0,24.95,0.0,0.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,6012,82000.0,15000.0,67000.0,2049400.0,375650.0,1673750.0,24.99,25.04,21.0,4.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,6110,27000.0,0.0,27000.0,675450.0,0.0,675450.0,25.02,0.0,7.000000000000001,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,616K,0.0,843.0,-843.0,0.0,21032.85,-21032.85,0.0,24.95,0.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,6464,0.0,3000.0,-3000.0,0.0,75000.0,-75000.0,0.0,25.0,0.0,1.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,6531,1000.0,0.0,1000.0,25050.0,0.0,25050.0,25.05,0.0,0.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,653D,1000.0,0.0,1000.0,25000.0,0.0,25000.0,25.0,0.0,0.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,6910,5000.0,0.0,5000.0,125050.0,0.0,125050.0,25.01,0.0,1.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,700h,0.0,2000.0,-2000.0,0.0,49800.0,-49800.0,0.0,24.9,0.0,1.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,7032,20.0,0.0,20.0,499.0,0.0,499.0,24.95,0.0,0.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,8560,2000.0,0.0,2000.0,49800.0,0.0,49800.0,24.9,0.0,1.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,8840,0.0,1000.0,-1000.0,0.0,25050.0,-25050.0,0.0,25.05,0.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,884E,0.0,5000.0,-5000.0,0.0,125250.0,-125250.0,0.0,25.05,0.0,1.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,8850,100.0,0.0,100.0,2495.0,0.0,2495.0,24.95,0.0,0.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,9138,4000.0,0.0,4000.0,100200.0,0.0,100200.0,25.05,0.0,1.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,913N,10.0,0.0,10.0,249.5,0.0,249.5,24.95,0.0,0.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,918J,1.0,0.0,1.0,24.95,0.0,24.95,24.95,0.0,0.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,9218,8000.0,0.0,8000.0,200000.0,0.0,200000.0,25.0,0.0,2.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,9287,0.0,1000.0,-1000.0,0.0,25000.0,-25000.0,0.0,25.0,0.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
2016-07-01,2616.0,9294,2000.0,0.0,2000.0,50000.0,0.0,50000.0,25.0,0.0,1.0,0.0,60.0,9926540.0,398082.0,25.0,25.05,24.9,24.9
