日期,代號,證券商,買進股數,賣出股數,買賣超股數,買進金額,賣出金額,買賣超金額,買進均價,賣出均價,買進比重,賣出比重,成交筆數,總成交金額,總成交股數,開盤價,最高價,最低價,收盤價
2016-07-01,3432.0,109A,25000.0,19000.0,6000.0,282500.0,215850.0,66650.0,11.3,11.36,20.0,15.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,111A,2000.0,0.0,2000.0,22800.0,0.0,22800.0,11.4,0.0,2.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,116B,3000.0,3000.0,0.0,33900.0,33900.0,0.0,11.3,11.3,2.0,2.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,116U,10000.0,0.0,10000.0,113500.0,0.0,113500.0,11.35,0.0,8.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,116Z,0.0,5000.0,-5000.0,0.0,56500.0,-56500.0,0.0,11.3,0.0,4.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,116w,2000.0,2000.0,0.0,22800.0,22600.0,200.0,11.4,11.3,2.0,2.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,1440,0.0,1000.0,-1000.0,0.0,11450.0,-11450.0,0.0,11.45,0.0,1.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,5320,5000.0,0.0,5000.0,56500.0,0.0,56500.0,11.3,0.0,4.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,5861,2000.0,0.0,2000.0,22700.0,0.0,22700.0,11.35,0.0,2.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,5925,0.0,5000.0,-5000.0,0.0,56500.0,-56500.0,0.0,11.3,0.0,4.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,592P,0.0,2000.0,-2000.0,0.0,23100.0,-23100.0,0.0,11.55,0.0,2.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,592u,20000.0,0.0,20000.0,228350.0,0.0,228350.0,11.42,0.0,16.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,6168,2000.0,0.0,2000.0,23000.0,0.0,23000.0,11.5,0.0,2.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,700p,0.0,2000.0,-2000.0,0.0,23000.0,-23000.0,0.0,11.5,0.0,2.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,8455,2000.0,0.0,2000.0,23100.0,0.0,23100.0,11.55,0.0,2.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,8458,2000.0,0.0,2000.0,22600.0,0.0,22600.0,11.3,0.0,2.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,8840,2000.0,0.0,2000.0,23000.0,0.0,23000.0,11.5,0.0,2.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,8843,4000.0,0.0,4000.0,45400.0,0.0,45400.0,11.35,0.0,3.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,8848,1000.0,0.0,1000.0,11300.0,0.0,11300.0,11.3,0.0,1.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,884B,1000.0,1000.0,0.0,11300.0,11300.0,0.0,11.3,11.3,1.0,1.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,884F,1000.0,0.0,1000.0,11300.0,0.0,11300.0,11.3,0.0,1.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,8850,0.0,1000.0,-1000.0,0.0,11450.0,-11450.0,0.0,11.45,0.0,1.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,913K,0.0,1000.0,-1000.0,0.0,11300.0,-11300.0,0.0,11.3,0.0,1.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,920M,1000.0,0.0,1000.0,11300.0,0.0,11300.0,11.3,0.0,1.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9233,0.0,7000.0,-7000.0,0.0,79500.0,-79500.0,0.0,11.36,0.0,6.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9257,0.0,33000.0,-33000.0,0.0,372900.0,-372900.0,0.0,11.3,0.0,26.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9266,0.0,2000.0,-2000.0,0.0,22600.0,-22600.0,0.0,11.3,0.0,2.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9269,0.0,6000.0,-6000.0,0.0,68550.0,-68550.0,0.0,11.43,0.0,5.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9283,0.0,5000.0,-5000.0,0.0,57500.0,-57500.0,0.0,11.5,0.0,4.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9300,2000.0,0.0,2000.0,22600.0,0.0,22600.0,11.3,0.0,2.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9322,3000.0,4000.0,-1000.0,33900.0,46000.0,-12100.0,11.3,11.5,2.0,3.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9331,1000.0,0.0,1000.0,11300.0,0.0,11300.0,11.3,0.0,1.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9381,5000.0,0.0,5000.0,56500.0,0.0,56500.0,11.3,0.0,4.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9604,2000.0,0.0,2000.0,22600.0,0.0,22600.0,11.3,0.0,2.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9616,1000.0,0.0,1000.0,11300.0,0.0,11300.0,11.3,0.0,1.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9648,2000.0,0.0,2000.0,22700.0,0.0,22700.0,11.35,0.0,2.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9665,1000.0,0.0,1000.0,11300.0,0.0,11300.0,11.3,0.0,1.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,980d,0.0,21000.0,-21000.0,0.0,238700.0,-238700.0,0.0,11.37,0.0,17.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,981M,1000.0,0.0,1000.0,11450.0,0.0,11450.0,11.45,0.0,1.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,981j,0.0,4000.0,-4000.0,0.0,45600.0,-45600.0,0.0,11.4,0.0,3.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,981n,2000.0,0.0,2000.0,22900.0,0.0,22900.0,11.45,0.0,2.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9822,0.0,2000.0,-2000.0,0.0,22900.0,-22900.0,0.0,11.45,0.0,2.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,983W,3000.0,0.0,3000.0,34650.0,0.0,34650.0,11.55,0.0,2.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,983i,2000.0,0.0,2000.0,23000.0,0.0,23000.0,11.5,0.0,2.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9852,3000.0,0.0,3000.0,34200.0,0.0,34200.0,11.4,0.0,2.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9858,1000.0,0.0,1000.0,11300.0,0.0,11300.0,11.3,0.0,1.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9891,1000.0,0.0,1000.0,11300.0,0.0,11300.0,11.3,0.0,1.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,989Z,2000.0,0.0,2000.0,22900.0,0.0,22900.0,11.45,0.0,2.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9A9G,10000.0,0.0,10000.0,113500.0,0.0,113500.0,11.35,0.0,8.0,0.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-07-01,3432.0,9A9P,0.0,1000.0,-1000.0,0.0,11550.0,-11550.0,0.0,11.55,0.0,1.0,55.0,1442750.0,127000.0,11.4,11.55,11.3,11.3
2016-06-30,3432.0,1021,10000.0,0.0,10000.0,115000.0,0.0,115000.0,11.5,0.0,5.0,0.0,106.0,2414850.0,212200.0,11.75,11.75,11.2,11.4
2016-06-30,3432.0,1037,1000.0,1000.0,0.0,11250.0,11750.0,-500.0,11.25,11.75,0.0,0.0,106.0,2414850.0,212200.0,11.75,11.75,11.2,11.4
2016-06-30,3432.0,1160,0.0,8000.0,-8000.0,0.0,94000.0,-94000.0,0.0,11.75,0.0,4.0,106.0,2414850.0,212200.0,11.75,11.75,11.2,11.4
2016-06-30,3432.0,116B,5000.0,5000.0,0.0,56250.0,57250.0,-1000.0,11.25,11.45,2.0,2.0,106.0,2414850.0,212200.0,11.75,11.75,11.2,11.4
2016-06-30,3432.0,116r,200.0,0.0,200.0,2300.0,0.0,2300.0,11.5,0.0,0.0,0.0,106.0,2414850.0,212200.0,11.75,11.75,11.2,11.4
2016-06-30,3432.0,116s,0.0,48000.0,-48000.0,0.0,543650.0,-543650.0,0.0,11.33,0.0,23.0,106.0,2414850.0,212200.0,11.75,11.75,11.2,11.4
2016-06-30,3432.0,116w,1000.0,1000.0,0.0,11300.0,11300.0,0.0,11.3,11.3,0.0,0.0,106.0,2414850.0,212200.0,11.75,11.75,11.2,11.4
2016-06-30,3432.0,1233,1000.0,0.0,1000.0,11250.0,0.0,11250.0,11.25,0.0,0.0,0.0,106.0,2414850.0,212200.0,11.75,11.75,11.2,11.4
2016-06-30,3432.0,1440,2000.0,6000.0,-4000.0,22400.0,69350.0,-46950.0,11.2,11.56,1.0,3.0,106.0,2414850.0,212200.0,11.75,11.75,11.2,11.4
2016-06-30,3432.0,5050,0.0,1000.0,-1000.0,0.0,11300.0,-11300.0,0.0,11.3,0.0,0.0,106.0,2414850.0,212200.0,11.75,11.75,11.2,11.4
2016-06-30,3432.0,5321,0.0,1000.0,-1000.0,0.0,11400.0,-11400.0,0.0,11.4,0.0,0.0,106.0,2414850.0,212200.0,11.75,11.75,11.2,11.4
2016-06-30,3432.0,5382,0.0,6000.0,-6000.0,0.0,68100.0,-68100.0,0.0,11.35,0.0,3.0,106.0,2414850.0,212200.0,11.75,11.75,11.2,11.4
