日期,代號,證券商,買進股數,賣出股數,買賣超股數,買進金額,賣出金額,買賣超金額,買進均價,賣出均價,買進比重,賣出比重,成交筆數,總成交金額,總成交股數,開盤價,最高價,最低價,收盤價
2016-07-01,4526.0,1020,1000.0,0.0,1000.0,24350.0,0.0,24350.0,24.35,0.0,1.0,0.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,1021,0.0,1000.0,-1000.0,0.0,24400.0,-24400.0,0.0,24.4,0.0,1.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,1022,2000.0,11000.0,-9000.0,48700.0,267850.0,-219150.0,24.35,24.35,1.0,7.000000000000001,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,1032,10000.0,0.0,10000.0,243500.0,0.0,243500.0,24.35,0.0,6.0,0.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,103B,0.0,5000.0,-5000.0,0.0,121750.0,-121750.0,0.0,24.35,0.0,3.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,1043,0.0,6000.0,-6000.0,0.0,146200.0,-146200.0,0.0,24.37,0.0,4.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,104A,0.0,80.0,-80.0,0.0,1948.0,-1948.0,0.0,24.35,0.0,0.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,1111,7000.0,0.0,7000.0,171000.0,0.0,171000.0,24.43,0.0,4.0,0.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,1162,1000.0,0.0,1000.0,24400.0,0.0,24400.0,24.4,0.0,1.0,0.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,1168,0.0,60.0,-60.0,0.0,1461.0,-1461.0,0.0,24.35,0.0,0.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,116L,0.0,5000.0,-5000.0,0.0,121750.0,-121750.0,0.0,24.35,0.0,3.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,116N,0.0,40.0,-40.0,0.0,974.0,-974.0,0.0,24.35,0.0,0.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,116V,0.0,5000.0,-5000.0,0.0,121500.0,-121500.0,0.0,24.3,0.0,3.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,116W,0.0,8000.0,-8000.0,0.0,195200.0,-195200.0,0.0,24.4,0.0,5.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,1440,9000.0,0.0,9000.0,219450.0,0.0,219450.0,24.38,0.0,6.0,0.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,1470,1000.0,0.0,1000.0,24500.0,0.0,24500.0,24.5,0.0,1.0,0.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,1480,7000.0,0.0,7000.0,170450.0,0.0,170450.0,24.35,0.0,4.0,0.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,1520,35000.0,0.0,35000.0,852800.0,0.0,852800.0,24.37,0.0,22.0,0.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,1530,12000.0,1000.0,11000.0,292450.0,24350.0,268100.0,24.37,24.35,7.000000000000001,1.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,1650,0.0,10000.0,-10000.0,0.0,243750.0,-243750.0,0.0,24.38,0.0,6.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,526A,1000.0,0.0,1000.0,24300.0,0.0,24300.0,24.3,0.0,1.0,0.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
2016-07-01,4526.0,538D,10000.0,0.0,10000.0,243500.0,0.0,243500.0,24.35,0.0,6.0,0.0,125.0,3941848.0,161727.0,24.5,24.5,24.3,24.35
