序,日期,代號,成交筆數,總成交金額,總成交股數,開盤價,最高價,最低價,收盤價,證券商,成交單價,買進股數,賣出股數
1,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,1020,24.25,1000,0
2,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,1020,24.3,1000,0
3,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,1024,24.35,1000,0
4,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,1025,24.35,10000,0
5,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,102C,24.35,0,2000
6,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,102E,24.25,43000,0
7,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,102E,24.3,10100,0
8,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,102E,24.35,2000,0
9,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,1030,24.25,200000,0
10,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,1030,24.3,72000,0
11,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,1030,24.35,180000,0
12,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,1032,24.25,0,6000
13,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,1032,24.3,6000,18000
14,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,1034,24.35,0,8000
15,2016-05-18,1102.0,2325.0,109441481.0,4502790.0,24.45,24.5,24.25,24.25,1035,24.25,1000,0
