序,日期,代號,成交筆數,總成交金額,總成交股數,開盤價,最高價,最低價,收盤價,證券商,成交單價,買進股數,賣出股數
1,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1020,23.8,10000,500
2,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1020,23.9,0,2000
3,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1021,23.6,0,1000
4,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1021,23.9,0,5000
5,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1024,23.95,0,2000
6,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,102C,23.9,0,1000
7,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,103A,23.9,0,1000
8,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,103A,23.95,1000,0
9,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1040,23.7,0,5000
10,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1040,23.9,55000,40000
11,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1040,23.95,0,30000
12,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1041,23.8,0,1000
13,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1041,23.85,0,1000
14,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1041,23.9,1000,0
15,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1042,23.55,0,1000
16,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1043,23.8,300,0
17,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,104A,23.9,1000,0
18,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,104A,23.95,0,1000
19,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,104D,23.6,0,2000
20,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,104D,23.65,1000,4000
21,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,104D,24.0,4000,2000
22,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1090,23.9,1000,0
23,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1091,23.9,1000,0
24,2016-05-18,1210.0,1195.0,59094941.0,2475771.0,24.0,24.0,23.55,23.95,1096,23.6,4000,0
