序,日期,代號,成交筆數,總成交金額,總成交股數,開盤價,最高價,最低價,收盤價,證券商,成交單價,買進股數,賣出股數
1.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,1024,10.05,0.0,23000.0
2.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,1570,10.0,0.0,10500.0
3.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,1570,10.05,0.0,12000.0
4.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,2180,10.0,59000.0,0.0
5.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,2180,10.05,40000.0,0.0
6.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,592y,10.0,0.0,50000.0
7.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,6165,10.05,0.0,1000.0
8.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,815A,10.0,0.0,636.0
9.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,845D,10.0,1499.0,0.0
10.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,845D,10.05,0.0,1000.0
11.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,884E,10.1,0.0,1000.0
12.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,9101,10.0,0.0,1000.0
13.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,9108,10.0,0.0,1000.0
14.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,9205,10.0,100.0,0.0
15.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,9215,10.05,0.0,3000.0
16.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,9328,10.0,0.0,353.0
17.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,9614,10.1,1000.0,0.0
18.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,9879,10.0,5000.0,0.0
19.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,9891,10.0,0.0,110.0
20.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,989D,10.0,0.0,3000.0
21.0,2016-05-18,1109.0,23.0,1078090.0,107599.0,10.0,10.1,10.0,10.1,9A8F,10.0,1000.0,0.0
