序,日期,代號,成交筆數,總成交金額,總成交股數,開盤價,最高價,最低價,收盤價,證券商,成交單價,買進股數,賣出股數
1.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,1020,18.55,5000.0,0.0
2.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,1020,18.6,15000.0,0.0
3.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,1029,18.25,2000.0,0.0
4.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,1029,18.3,3000.0,0.0
5.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,1034,18.25,0.0,2000.0
6.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,1034,18.65,0.0,1000.0
7.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,1041,18.5,1000.0,0.0
8.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,1045,18.25,1000.0,0.0
9.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,104A,18.2,2000.0,0.0
10.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,104D,18.55,0.0,20000.0
11.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,104D,18.6,0.0,20000.0
12.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,1096,18.3,3000.0,0.0
13.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,1119,18.5,10000.0,0.0
14.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,1119,18.55,10000.0,0.0
15.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,1119,18.6,10000.0,0.0
16.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,1119,18.65,10000.0,0.0
17.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,111E,18.2,1000.0,0.0
18.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,116K,18.5,1000.0,0.0
19.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,116K,18.55,1000.0,0.0
20.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,116m,18.6,5000.0,0.0
21.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,116Q,18.5,10000.0,0.0
22.0,2016-05-18,1201.0,231.0,9744526.0,528259.0,18.5,18.7,18.15,18.25,116Z,18.3,5000.0,0.0
