序,日期,代號,成交筆數,總成交金額,總成交股數,開盤價,最高價,最低價,收盤價,證券商,成交單價,買進股數,賣出股數
1.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,1029,8.41,3000.0,0.0
2.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,102C,8.39,10000.0,0.0
3.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,102C,8.4,10000.0,0.0
4.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,1091,8.42,2000.0,0.0
5.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,1091,8.48,1000.0,0.0
6.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,116C,8.41,0.0,1000.0
7.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,116G,8.44,6000.0,0.0
8.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,116Z,8.4,1000.0,0.0
9.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,1440,8.39,1000.0,0.0
10.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,1440,8.4,4000.0,0.0
11.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,1440,8.41,3000.0,0.0
12.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,1440,8.42,3000.0,0.0
13.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,1440,8.43,2000.0,0.0
14.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,1440,8.44,1000.0,0.0
15.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,1440,8.45,1000.0,0.0
16.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,1440,8.46,1000.0,0.0
17.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,1470,8.41,0.0,2000.0
18.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,1470,8.42,0.0,1000.0
19.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,1530,8.48,0.0,1000.0
20.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,538C,8.46,10000.0,0.0
21.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,585J,8.39,1000.0,0.0
22.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,585J,8.4,1000.0,0.0
23.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,585J,8.41,1000.0,0.0
24.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,585J,8.42,1000.0,2000.0
25.0,2016-05-18,1103.0,86.0,1448253.0,172078.0,8.48,8.48,8.39,8.46,585J,8.43,1000.0,2000.0
