序,日期,代號,成交筆數,總成交金額,總成交股數,開盤價,最高價,最低價,收盤價,證券商,成交單價,買進股數,賣出股數
1.0,2016-05-18,1110.0,7.0,173300.0,12000.0,14.35,14.45,14.35,14.45,1470,14.35,0.0,1000.0
2.0,2016-05-18,1110.0,7.0,173300.0,12000.0,14.35,14.45,14.35,14.45,1570,14.45,0.0,10000.0
3.0,2016-05-18,1110.0,7.0,173300.0,12000.0,14.35,14.45,14.35,14.45,6530,14.45,8000.0,0.0
4.0,2016-05-18,1110.0,7.0,173300.0,12000.0,14.35,14.45,14.35,14.45,700M,14.35,1000.0,0.0
5.0,2016-05-18,1110.0,7.0,173300.0,12000.0,14.35,14.45,14.35,14.45,700M,14.45,0.0,1000.0
6.0,2016-05-18,1110.0,7.0,173300.0,12000.0,14.35,14.45,14.35,14.45,815B,14.45,2000.0,0.0
7.0,2016-05-18,1110.0,7.0,173300.0,12000.0,14.35,14.45,14.35,14.45,9300,14.45,1000.0,0.0
