序,日期,代號,成交筆數,總成交金額,總成交股數,開盤價,最高價,最低價,收盤價,證券商,成交單價,買進股數,賣出股數
1,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,111B,20.1,5000,0
2,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,1165,20.05,10000,0
3,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,116Q,20.05,0,632
4,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,1440,20.1,11000,5000
5,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,1440,20.15,1000,0
6,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,1480,20.05,0,10000
7,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,1480,20.1,0,16000
8,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,1650,20.05,0,1000
9,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,1650,20.1,1000,1000
10,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,2185,20.05,0,1000
11,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,526K,20.1,0,12000
12,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,5855,20.1,1000,0
13,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,585C,20.1,1000,0
14,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,592C,20.1,2000,0
15,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,592D,20.05,0,251
16,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,592m,20.1,20000,0
17,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,592n,20.05,930,0
18,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,592v,20.1,5000,0
19,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,6382,20.1,2000,0
20,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,6465,20.1,1000,0
21,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,7003,20.0,2000,0
22,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,7008,20.1,0,4000
23,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,7080,20.05,0,48
24,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,7792,20.1,0,1000
25,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,779u,20.05,4000,0
26,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,8150,20.1,0,46000
27,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,8381,20.05,0,1000
28,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,8560,20.15,0,3000
29,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,8850,20.15,0,1000
30,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,9185,20.05,10,0
31,2016-05-18,1104.0,68.0,3534894.0,175950.0,20.15,20.15,20.0,20.1,918D,20.05,10,0
